"Last Modified","Container Type","Container Description","Track Description","Ignore For Recommendations",Country,"Container Reference","Track Reference","Feature Name","First Event Timestamp","Last End Reason Tyoe","Last Event End Timestamp","Last Event Received Timestamp","Last Event Start Timestamp","Max Event End Position in millis","Max Play Duration in millis","Media duration in millis","Media type","Min Event Start Position in millis","Total plays","Total skips","Total play duration in millis"
2026-03-14T03:17:57.265Z,Album,"Taylor Swift - Midnights (The Til Dawn Edition)","Taylor Swift - Anti-Hero",false,"United States",1689131527,1689131533,"home / playlist_detail",2026-03-14T03:17:57.265Z,NATURAL_END_OF_TRACK,2026-03-23T19:07:26.420Z,2026-03-23T19:06:38.861Z,2026-03-23T19:06:38.817Z,200767,202205,200767,AUDIO,0,24,5,3915556
2026-03-19T13:36:32.821Z,Album,"Harry Styles - Kiss All The Time. Disco, Occasionally.","Harry Styles - Ready, Steady, Go!",false,"United States",1870984032,1870984038,"home / playlist_detail",2026-03-19T13:36:32.821Z,NATURAL_END_OF_TRACK,2026-03-23T18:34:38.797Z,2026-03-23T18:34:38.827Z,2026-03-23T18:31:58.022Z,160443,161110,160400,AUDIO,0,26,8,3540415
2026-03-05T18:15:43.755Z,Album,"Taylor Swift - Midnights (The Til Dawn Edition)","Taylor Swift - Question...?",false,"United States",1689131527,1689131960,"home / playlist_detail",2026-03-05T18:15:43.755Z,NATURAL_END_OF_TRACK,2026-03-23T18:31:58.036Z,2026-03-23T18:31:58.088Z,2026-03-23T18:28:27.163Z,210600,211411,210573,AUDIO,0,26,10,3738943
2026-03-06T03:41:07.867Z,Album,"Taylor Swift - Midnights (The Til Dawn Edition)","Taylor Swift - Maroon",false,"United States",1689131527,1689131532,"home / playlist_detail",2026-03-06T03:41:07.867Z,TRACK_SKIPPED_FORWARDS,2026-03-23T18:28:27.027Z,2026-03-23T18:28:25.524Z,2026-03-23T18:28:25.401Z,218314,218665,218279,AUDIO,0,31,13,4220709
2026-03-15T23:47:40.949Z,Album,"Taylor Swift - The Life of a Showgirl","Taylor Swift - The Fate of Ophelia",false,"United States",1838810949,1838810951,"home / playlist_detail",2026-03-15T23:47:40.949Z,NATURAL_END_OF_TRACK,2026-03-23T18:19:49.555Z,2026-03-23T18:19:49.590Z,2026-03-23T18:16:03.635Z,226117,226144,226073,AUDIO,0,12,6,1914288
2026-03-13T15:00:29.671Z,Album,"Zara Larsson - Midnight Sun","Zara Larsson - Blue Moon",false,"United States",1817499239,1817499499,"home / playlist_detail",2026-03-13T15:00:29.671Z,NATURAL_END_OF_TRACK,2026-03-23T18:04:40.067Z,2026-03-23T18:04:40.096Z,2026-03-23T18:01:37.785Z,182100,183185,182055,AUDIO,0,30,15,3532269
2026-03-05T18:12:21.107Z,Album,"Taylor Swift - Midnights (The Til Dawn Edition)","Taylor Swift - Lavender Haze",false,"United States",1689131527,1689131531,"home / playlist_detail",2026-03-05T18:12:21.107Z,NATURAL_END_OF_TRACK,2026-03-23T18:01:37.772Z,2026-03-23T18:01:37.813Z,2026-03-23T17:58:15.070Z,202480,202842,202422,AUDIO,0,37,13,5420413
2026-03-13T14:29:21.992Z,Album,"Zara Larsson - Midnight Sun","Zara Larsson - Pretty Ugly",false,"United States",1817499239,1817499504,"home / playlist_detail",2026-03-13T14:29:21.992Z,NATURAL_END_OF_TRACK,2026-03-23T17:58:15.069Z,2026-03-23T17:58:15.111Z,2026-03-23T17:55:36.333Z,158749,160462,158696,AUDIO,0,33,10,3908211
2026-03-19T14:06:44.481Z,Album,"Harry Styles - Kiss All The Time. Disco, Occasionally.","Harry Styles - Aperture",false,"United States",1870984032,1870984033,"home / playlist_detail",2026-03-19T14:06:44.481Z,NATURAL_END_OF_TRACK,2026-03-23T17:52:08.091Z,2026-03-23T17:50:20.153Z,2026-03-23T17:50:19.793Z,311733,311889,311733,AUDIO,0,9,5,1834972
2026-03-23T14:42:47.361Z,Album,"Ed Sheeran - - (Deluxe)","Ed Sheeran - The Hills of Aberfeldy",false,"United States",1673804537,1673805365,"home / album_detail",2026-03-23T14:42:47.361Z,NATURAL_END_OF_TRACK,2026-03-23T15:47:57.386Z,2026-03-23T15:47:57.439Z,2026-03-23T15:44:42.310Z,195127,195076,195127,AUDIO,0,2,0,390150
