Country,"Track Identifier","Media type","Date Played",Hours,"Play Duration Milliseconds","End Reason Type","Source Type","Play Count","Skip Count","Ignore For Recommendations","Track Reference","Track Description"
"United States",884282144,AUDIO,20250104,4,0,TRACK_SKIPPED_FORWARDS,IPHONE,0,1,false,884282144,"Bleachers - I Wanna Get Better"
"United States",1524801591,AUDIO,20250104,1,0,"MANUALLY_SELECTED_PLAYBACK_OF_A_DIFF_ITEM",IPHONE,0,1,false,1524801591,"Taylor Swift - my tears ricochet"
"United States",884282120,AUDIO,20250104,3,0,"MANUALLY_SELECTED_PLAYBACK_OF_A_DIFF_ITEM",IPHONE,0,1,false,884282120,"Bleachers - Rollercoaster"
"United States",1567285165,AUDIO,20250104,3,0,TRACK_SKIPPED_FORWARDS,IPHONE,0,1,false,1567285165,"Bleachers - Stop Making This Hurt"
"United States",1650860039,AUDIO,20250105,"4, 13",231476,NATURAL_END_OF_TRACK,IPHONE,2,0,false,1650860039,"Taylor Swift - High Infidelity"
"United States",1571330212,AUDIO,20250105,1,230000,NATURAL_END_OF_TRACK,IPHONE,1,0,false,1571330212,"Ed Sheeran - Bad Habits"
"United States",1702583449,AUDIO,20250105,1,223100,NATURAL_END_OF_TRACK,IPHONE,1,0,false,1702583449,"Bleachers - Modern Girl"
"United States",1225759939,AUDIO,20250105,1,215539,NATURAL_END_OF_TRACK,IPHONE,1,1,false,1225759939,"Bleachers - Don't Take the Money"
"United States",1552269072,AUDIO,20250105,1,193000,NATURAL_END_OF_TRACK,IPHONE,1,0,false,N/A,"Dua Lipa - Physical"
"United States",1521724998,AUDIO,20250105,13,126882,PLAYBACK_MANUALLY_PAUSED,IPHONE,1,0,false,N/A,"Gracie Abrams - I miss you, I’m sorry"
"United States",1707782189,AUDIO,20250105,1,39226,OTHER,IPHONE,1,0,false,N/A,"Dua Lipa - Dance The Night (From Barbie The Album)"
"United States",884282144,AUDIO,20250105,1,0,TRACK_SKIPPED_FORWARDS,IPHONE,0,1,false,884282144,"Bleachers - I Wanna Get Better"
"United States",884282120,AUDIO,20250105,1,0,"MANUALLY_SELECTED_PLAYBACK_OF_A_DIFF_ITEM",IPHONE,0,1,false,884282120,"Bleachers - Rollercoaster"
"United States",1621817894,AUDIO,20250105,1,0,TRACK_SKIPPED_FORWARDS,IPHONE,0,1,false,1621817894,"OneRepublic - I Ain't Worried"
"United States",1229315050,AUDIO,20250105,1,0,TRACK_SKIPPED_FORWARDS,IPHONE,0,1,false,1229315050,"Portugal. The Man - Feel It Still"
"United States",1538003635,AUDIO,20250105,1,0,"MANUALLY_SELECTED_PLAYBACK_OF_A_DIFF_ITEM",IPHONE,0,1,false,1538003635,"Dua Lipa - Don't Start Now"
"United States",1477880764,AUDIO,20250105,1,0,"MANUALLY_SELECTED_PLAYBACK_OF_A_DIFF_ITEM",IPHONE,0,1,false,1477880764,"Post Malone & Swae Lee - Sunflower (Spider-Man: Into the Spider-Verse)"
"United States",1567285165,AUDIO,20250105,1,0,TRACK_SKIPPED_FORWARDS,IPHONE,0,2,false,1567285165,"Bleachers - Stop Making This Hurt"
"United States",1225759939,AUDIO,20250106,21,144715,PLAYBACK_MANUALLY_PAUSED,IPHONE,1,0,false,1225759939,"Bleachers - Don't Take the Money"
"United States",1552269077,AUDIO,20250106,21,105936,TRACK_SKIPPED_FORWARDS,IPHONE,1,1,false,N/A,"Dua Lipa - Break My Heart"
"United States",1745741857,AUDIO,20250106,21,73492,TRACK_SKIPPED_FORWARDS,IPHONE,1,1,false,N/A,"Dua Lipa - Houdini"
"United States",1521724998,AUDIO,20250106,2,40660,NATURAL_END_OF_TRACK,IPHONE,1,0,false,N/A,"Gracie Abrams - I miss you, I’m sorry"
"United States",1750307362,AUDIO,20250106,2,38637,PLAYBACK_SUSPENDED,IPHONE,1,0,false,N/A,"Sabrina Carpenter - Espresso"
"United States",1364709436,AUDIO,20250106,21,0,"MANUALLY_SELECTED_PLAYBACK_OF_A_DIFF_ITEM",IPHONE,0,1,false,N/A,"Calvin Harris, Dua Lipa - One Kiss"
"United States",1625198692,AUDIO,20250106,21,0,TRACK_SKIPPED_FORWARDS,IPHONE,0,1,false,N/A,"Ed Sheeran - One Life"
"United States",283699774,AUDIO,20250106,21,0,TRACK_SKIPPED_FORWARDS,IPHONE,0,1,false,N/A,"John Mayer - Your Body Is a Wonderland"
"United States",1228742325,AUDIO,20250106,21,0,"MANUALLY_SELECTED_PLAYBACK_OF_A_DIFF_ITEM",IPHONE,0,1,false,N/A,"Dua Lipa - Genesis"
"United States",1468058708,AUDIO,20250106,21,0,TRACK_SKIPPED_FORWARDS,IPHONE,0,1,false,N/A,"Taylor Swift - Daylight"
"United States",1513156388,AUDIO,20250107,9,249426,NATURAL_END_OF_TRACK,IPHONE,1,0,false,N/A,"Ben Platt - Grow As We Go"
"United States",1440505355,AUDIO,20250107,9,218693,NATURAL_END_OF_TRACK,IPHONE,1,0,false,N/A,"Sara Bareilles - I Choose You"
"United States",1225759939,AUDIO,20250107,9,215539,NATURAL_END_OF_TRACK,IPHONE,1,0,false,1225759939,"Bleachers - Don't Take the Money"
"United States",1598000282,AUDIO,20250107,9,152361,NATURAL_END_OF_TRACK,IPHONE,1,0,false,N/A,"Gracie Abrams - Feels Like"
"United States",1669618961,AUDIO,20250107,9,140892,NATURAL_END_OF_TRACK,IPHONE,1,0,false,N/A,"Hearts On The Run - Digital Love"
"United States",1663992224,AUDIO,20250107,9,89697,TRACK_SKIPPED_FORWARDS,IPHONE,1,1,false,N/A,"Ashley Kutcher - Everyone And No One"
